Mã,Tên,C?p,Ngh? quy?t,Mã TP,T?nh / Thành Ph?
07999,Xã Chí ?ám,Xã,S?: 1676/NQ-UBTVQH15; Ngày: 16/06/2025,25,T?nh Phú Th?
08023,Xã Tây C?c,Xã,S?: 1676/NQ-UBTVQH15; Ngày: 16/06/2025,25,T?nh Phú Th?
08038,Xã Chân M?ng,Xã,S?: 1676/NQ-UBTVQH15; Ngày: 16/06/2025,25,T?nh Phú Th?
08053,Xã H? Hòa,Xã,S?: 1676/NQ-UBTVQH15; Ngày: 16/06/2025,25,T?nh Phú Th?
08071,Xã ?an Th??ng,Xã,S?: 1676/NQ-UBTVQH15; Ngày: 16/06/2025,25,T?nh Phú Th?
08110,Xã Hi?n L??ng,Xã,S?: 1676/NQ-UBTVQH15; Ngày: 16/06/2025,25,T?nh Phú Th?
08113,Xã Yên K?,Xã,S?: 1676/NQ-UBTVQH15; Ngày: 16/06/2025,25,T?nh Phú Th?
08134,Xã V?n Lang,Xã,S?: 1676/NQ-UBTVQH15; Ngày: 16/06/2025,25,T?nh Phú Th?
08143,Xã V?nh Chân,Xã,S?: 1676/NQ-UBTVQH15; Ngày: 16/06/2025,25,T?nh Phú Th?
08152,Xã Thanh Ba,Xã,S?: 1676/NQ-UBTVQH15; Ngày: 16/06/2025,25,T?nh Phú Th?
08173,Xã Qu?ng Yên,Xã,S?: 1676/NQ-UBTVQH15; Ngày: 16/06/2025,25,T?nh Phú Th?
08203,Xã Hoàng C??ng,Xã,S?: 1676/NQ-UBTVQH15; Ngày: 16/06/2025,25,T?nh Phú Th?
08209,Xã ?ông Thành,Xã,S?: 1676/NQ-UBTVQH15; Ngày: 16/06/2025,25,T?nh Phú Th?
08218,Xã Chí Tiên,Xã,S?: 1676/NQ-UBTVQH15; Ngày: 16/06/2025,25,T?nh Phú Th?
08227,Xã Liên Minh,Xã,S?: 1676/NQ-UBTVQH15; Ngày: 16/06/2025,25,T?nh Phú Th?
08230,Xã Phù Ninh,Xã,S?: 1676/NQ-UBTVQH15; Ngày: 16/06/2025,25,T?nh Phú Th?
08236,Xã Phú M?,Xã,S?: 1676/NQ-UBTVQH15; Ngày: 16/06/2025,25,T?nh Phú Th?
08245,Xã Tr?m Th?n,Xã,S?: 1676/NQ-UBTVQH15; Ngày: 16/06/2025,25,T?nh Phú Th?
08254,Xã Dân Ch?,Xã,S?: 1676/NQ-UBTVQH15; Ngày: 16/06/2025,25,T?nh Phú Th?
08275,Xã Bình Phú,Xã,S?: 1676/NQ-UBTVQH15; Ngày: 16/06/2025,25,T?nh Phú Th?
08290,Xã Yên L?p,Xã,S?: 1676/NQ-UBTVQH15; Ngày: 16/06/2025,25,T?nh Phú Th?
08296,Xã S?n L??ng,Xã,S?: 1676/NQ-UBTVQH15; Ngày: 16/06/2025,25,T?nh Phú Th?
08305,Xã Xuân Viên,Xã,S?: 1676/NQ-UBTVQH15; Ngày: 16/06/2025,25,T?nh Phú Th?
08311,Xã Trung S?n,Xã,S?: 1676/NQ-UBTVQH15; Ngày: 16/06/2025,25,T?nh Phú Th?
08323,Xã Th??ng Long,Xã,S?: 1676/NQ-UBTVQH15; Ngày: 16/06/2025,25,T?nh Phú Th?
08338,Xã Minh Hòa,Xã,S?: 1676/NQ-UBTVQH15; Ngày: 16/06/2025,25,T?nh Phú Th?
08341,Xã C?m Khê,Xã,S?: 1676/NQ-UBTVQH15; Ngày: 16/06/2025,25,T?nh Phú Th?
08344,Xã Tiên L??ng,Xã,S?: 1676/NQ-UBTVQH15; Ngày: 16/06/2025,25,T?nh Phú Th?
08377,Xã Vân Bán,Xã,S?: 1676/NQ-UBTVQH15; Ngày: 16/06/2025,25,T?nh Phú Th?
08398,Xã Phú Khê,Xã,S?: 1676/NQ-UBTVQH15; Ngày: 16/06/2025,25,T?nh Phú Th?
08416,Xã Hùng Vi?t,Xã,S?: 1676/NQ-UBTVQH15; Ngày: 16/06/2025,25,T?nh Phú Th?
08431,Xã ??ng L??ng,Xã,S?: 1676/NQ-UBTVQH15; Ngày: 16/06/2025,25,T?nh Phú Th?
08434,Xã Tam Nông,Xã,S?: 1676/NQ-UBTVQH15; Ngày: 16/06/2025,25,T?nh Phú Th?
08443,Xã Hi?n Quan,Xã,S?: 1676/NQ-UBTVQH15; Ngày: 16/06/2025,25,T?nh Phú Th?
08467,Xã V?n Xuân,Xã,S?: 1676/NQ-UBTVQH15; Ngày: 16/06/2025,25,T?nh Phú Th?
08479,Xã Th? V?n,Xã,S?: 1676/NQ-UBTVQH15; Ngày: 16/06/2025,25,T?nh Phú Th?
08494,Xã Lâm Thao,Xã,S?: 1676/NQ-UBTVQH15; Ngày: 16/06/2025,25,T?nh Phú Th?
08500,Xã Xuân L?ng,Xã,S?: 1676/NQ-UBTVQH15; Ngày: 16/06/2025,25,T?nh Phú Th?
08515,Xã Hy C??ng,Xã,S?: 1676/NQ-UBTVQH15; Ngày: 16/06/2025,25,T?nh Phú Th?
08521,Xã Phùng Nguyên,Xã,S?: 1676/NQ-UBTVQH15; Ngày: 16/06/2025,25,T?nh Phú Th?
08527,Xã B?n Nguyên,Xã,S?: 1676/NQ-UBTVQH15; Ngày: 16/06/2025,25,T?nh Phú Th?
08542,Xã Thanh S?n,Xã,S?: 1676/NQ-UBTVQH15; Ngày: 16/06/2025,25,T?nh Phú Th?
08545,Xã Thu Cúc,Xã,S?: 1676/NQ-UBTVQH15; Ngày: 16/06/2025,25,T?nh Phú Th?
08560,Xã Lai ??ng,Xã,S?: 1676/NQ-UBTVQH15; Ngày: 16/06/2025,25,T?nh Phú Th?
08566,Xã Tân S?n,Xã,S?: 1676/NQ-UBTVQH15; Ngày: 16/06/2025,25,T?nh Phú Th?
08584,Xã Võ Mi?u,Xã,S?: 1676/NQ-UBTVQH15; Ngày: 16/06/2025,25,T?nh Phú Th?
08590,Xã Xuân ?ài,Xã,S?: 1676/NQ-UBTVQH15; Ngày: 16/06/2025,25,T?nh Phú Th?
08593,Xã Minh ?ài,Xã,S?: 1676/NQ-UBTVQH15; Ngày: 16/06/2025,25,T?nh Phú Th?
08611,Xã V?n Mi?u,Xã,S?: 1676/NQ-UBTVQH15; Ngày: 16/06/2025,25,T?nh Phú Th?
08614,Xã C? ??ng,Xã,S?: 1676/NQ-UBTVQH15; Ngày: 16/06/2025,25,T?nh Phú Th?
08620,Xã Long C?c,Xã,S?: 1676/NQ-UBTVQH15; Ngày: 16/06/2025,25,T?nh Phú Th?
08632,Xã H??ng C?n,Xã,S?: 1676/NQ-UBTVQH15; Ngày: 16/06/2025,25,T?nh Phú Th?
08635,Xã Kh? C?u,Xã,S?: 1676/NQ-UBTVQH15; Ngày: 16/06/2025,25,T?nh Phú Th?
08656,Xã Yên S?n,Xã,S?: 1676/NQ-UBTVQH15; Ngày: 16/06/2025,25,T?nh Phú Th?
08662,Xã ?ào Xá,Xã,S?: 1676/NQ-UBTVQH15; Ngày: 16/06/2025,25,T?nh Phú Th?
08674,Xã Thanh Th?y,Xã,S?: 1676/NQ-UBTVQH15; Ngày: 16/06/2025,25,T?nh Phú Th?
08686,Xã Tu V?,Xã,S?: 1676/NQ-UBTVQH15; Ngày: 16/06/2025,25,T?nh Phú Th?
08707,Ph??ng V?nh Yên,Ph??ng,S?: 1676/NQ-UBTVQH15; Ngày: 16/06/2025,25,T?nh Phú Th?
08716,Ph??ng V?nh Phúc,Ph??ng,S?: 1676/NQ-UBTVQH15; Ngày: 16/06/2025,25,T?nh Phú Th?
08740,Ph??ng Phúc Yên,Ph??ng,S?: 1676/NQ-UBTVQH15; Ngày: 16/06/2025,25,T?nh Phú Th?
08746,Ph??ng Xuân Hòa,Ph??ng,S?: 1676/NQ-UBTVQH15; Ngày: 16/06/2025,25,T?nh Phú Th?
08761,Xã L?p Th?ch,Xã,S?: 1676/NQ-UBTVQH15; Ngày: 16/06/2025,25,T?nh Phú Th?
08770,Xã H?p Lý,Xã,S?: 1676/NQ-UBTVQH15; Ngày: 16/06/2025,25,T?nh Phú Th?
08773,Xã Yên Lãng,Xã,S?: 1676/NQ-UBTVQH15; Ngày: 16/06/2025,25,T?nh Phú Th?
08782,Xã H?i L?u,Xã,S?: 1676/NQ-UBTVQH15; Ngày: 16/06/2025,25,T?nh Phú Th?
08788,Xã Thái Hòa,Xã,S?: 1676/NQ-UBTVQH15; Ngày: 16/06/2025,25,T?nh Phú Th?
08812,Xã Liên Hòa,Xã,S?: 1676/NQ-UBTVQH15; Ngày: 16/06/2025,25,T?nh Phú Th?
08824,Xã Tam S?n,Xã,S?: 1676/NQ-UBTVQH15; Ngày: 16/06/2025,25,T?nh Phú Th?
08842,Xã Tiên L?,Xã,S?: 1676/NQ-UBTVQH15; Ngày: 16/06/2025,25,T?nh Phú Th?
08848,Xã Sông Lô,Xã,S?: 1676/NQ-UBTVQH15; Ngày: 16/06/2025,25,T?nh Phú Th?
08866,Xã S?n ?ông,Xã,S?: 1676/NQ-UBTVQH15; Ngày: 16/06/2025,25,T?nh Phú Th?
08869,Xã Tam D??ng,Xã,S?: 1676/NQ-UBTVQH15; Ngày: 16/06/2025,25,T?nh Phú Th?
08872,Xã Tam D??ng B?c,Xã,S?: 1676/NQ-UBTVQH15; Ngày: 16/06/2025,25,T?nh Phú Th?
08896,Xã Hoàng An,Xã,S?: 1676/NQ-UBTVQH15; Ngày: 16/06/2025,25,T?nh Phú Th?
08905,Xã H?i Th?nh,Xã,S?: 1676/NQ-UBTVQH15; Ngày: 16/06/2025,25,T?nh Phú Th?
08911,Xã Tam ??o,Xã,S?: 1676/NQ-UBTVQH15; Ngày: 16/06/2025,25,T?nh Phú Th?
08914,Xã ??o Trù,Xã,S?: 1676/NQ-UBTVQH15; Ngày: 16/06/2025,25,T?nh Phú Th?
08923,Xã ??i ?ình,Xã,S?: 1676/NQ-UBTVQH15; Ngày: 16/06/2025,25,T?nh Phú Th?
08935,Xã Bình Nguyên,Xã,S?: 1676/NQ-UBTVQH15; Ngày: 16/06/2025,25,T?nh Phú Th?
08944,Xã Bình Tuy?n,Xã,S?: 1676/NQ-UBTVQH15; Ngày: 16/06/2025,25,T?nh Phú Th?
08950,Xã Bình Xuyên,Xã,S?: 1676/NQ-UBTVQH15; Ngày: 16/06/2025,25,T?nh Phú Th?
08971,Xã Xuân Lãng,Xã,S?: 1676/NQ-UBTVQH15; Ngày: 16/06/2025,25,T?nh Phú Th?
09025,Xã Yên L?c,Xã,S?: 1676/NQ-UBTVQH15; Ngày: 16/06/2025,25,T?nh Phú Th?
09040,Xã T? L?,Xã,S?: 1676/NQ-UBTVQH15; Ngày: 16/06/2025,25,T?nh Phú Th?
09043,Xã Tam H?ng,Xã,S?: 1676/NQ-UBTVQH15; Ngày: 16/06/2025,25,T?nh Phú Th?
09052,Xã Nguy?t ??c,Xã,S?: 1676/NQ-UBTVQH15; Ngày: 16/06/2025,25,T?nh Phú Th?
09064,Xã Liên Châu,Xã,S?: 1676/NQ-UBTVQH15; Ngày: 16/06/2025,25,T?nh Phú Th?
09076,Xã V?nh T??ng,Xã,S?: 1676/NQ-UBTVQH15; Ngày: 16/06/2025,25,T?nh Phú Th?
09079,Xã V?nh An,Xã,S?: 1676/NQ-UBTVQH15; Ngày: 16/06/2025,25,T?nh Phú Th?
09100,Xã V?nh H?ng,Xã,S?: 1676/NQ-UBTVQH15; Ngày: 16/06/2025,25,T?nh Phú Th?
09106,Xã V?nh Thành,Xã,S?: 1676/NQ-UBTVQH15; Ngày: 16/06/2025,25,T?nh Phú Th?
09112,Xã Th? Tang,Xã,S?: 1676/NQ-UBTVQH15; Ngày: 16/06/2025,25,T?nh Phú Th?
09154,Xã V?nh Phú,Xã,S?: 1676/NQ-UBTVQH15; Ngày: 16/06/2025,25,T?nh Phú Th?
10507,Ph??ng Thành ?ông,Ph??ng,S?: 1669/NQ-UBTVQH15; Ngày: 16/06/2025,31,Thành ph? H?i Phòng
10525,Ph??ng H?i D??ng,Ph??ng,S?: 1669/NQ-UBTVQH15; Ngày: 16/06/2025,31,Thành ph? H?i Phòng
10532,Ph??ng Lê Thanh Ngh?,Ph??ng,S?: 1669/NQ-UBTVQH15; Ngày: 16/06/2025,31,Thành ph? H?i Phòng
10537,Ph??ng Tân H?ng,Ph??ng,S?: 1669/NQ-UBTVQH15; Ngày: 16/06/2025,31,Thành ph? H?i Phòng
10543,Ph??ng Vi?t Hòa,Ph??ng,S?: 1669/NQ-UBTVQH15; Ngày: 16/06/2025,31,Thành ph? H?i Phòng
10546,Ph??ng Chí Linh,Ph??ng,S?: 1669/NQ-UBTVQH15; Ngày: 16/06/2025,31,Thành ph? H?i Phòng
10549,Ph??ng Chu V?n An,Ph??ng,S?: 1669/NQ-UBTVQH15; Ngày: 16/06/2025,31,Thành ph? H?i Phòng
10552,Ph??ng Nguy?n Trãi,Ph??ng,S?: 1669/NQ-UBTVQH15; Ngày: 16/06/2025,31,Thành ph? H?i Phòng
10570,Ph??ng Tr?n H?ng ??o,Ph??ng,S?: 1669/NQ-UBTVQH15; Ngày: 16/06/2025,31,Thành ph? H?i Phòng
10573,Ph??ng Tr?n Nhân Tông,Ph??ng,S?: 1669/NQ-UBTVQH15; Ngày: 16/06/2025,31,Thành ph? H?i Phòng
10603,Ph??ng Lê ??i Hành,Ph??ng,S?: 1669/NQ-UBTVQH15; Ngày: 16/06/2025,31,Thành ph? H?i Phòng
10606,Xã Nam Sách,Xã,S?: 1669/NQ-UBTVQH15; Ngày: 16/06/2025,31,Thành ph? H?i Phòng
10615,Xã H?p Ti?n,Xã,S?: 1669/NQ-UBTVQH15; Ngày: 16/06/2025,31,Thành ph? H?i Phòng
10633,Xã Tr?n Phú,Xã,S?: 1669/NQ-UBTVQH15; Ngày: 16/06/2025,31,Thành ph? H?i Phòng
10642,Xã Thái Tân,Xã,S?: 1669/NQ-UBTVQH15; Ngày: 16/06/2025,31,Thành ph? H?i Phòng
10645,Xã An Phú,Xã,S?: 1669/NQ-UBTVQH15; Ngày: 16/06/2025,31,Thành ph? H?i Phòng
10660,Ph??ng Ái Qu?c,Ph??ng,S?: 1669/NQ-UBTVQH15; Ngày: 16/06/2025,31,Thành ph? H?i Phòng
10675,Ph??ng Kinh Môn,Ph??ng,S?: 1669/NQ-UBTVQH15; Ngày: 16/06/2025,31,Thành ph? H?i Phòng
10678,Ph??ng B?c An Ph?,Ph??ng,S?: 1669/NQ-UBTVQH15; Ngày: 16/06/2025,31,Thành ph? H?i Phòng
10705,Xã Nam An Ph?,Xã,S?: 1669/NQ-UBTVQH15; Ngày: 16/06/2025,31,Thành ph? H?i Phòng
10714,Ph??ng Nh? Chi?u,Ph??ng,S?: 1669/NQ-UBTVQH15; Ngày: 16/06/2025,31,Thành ph? H?i Phòng
10726,Ph??ng Ph?m S? M?nh,Ph??ng,S?: 1669/NQ-UBTVQH15; Ngày: 16/06/2025,31,Thành ph? H?i Phòng
10729,Ph??ng Tr?n Li?u,Ph??ng,S?: 1669/NQ-UBTVQH15; Ngày: 16/06/2025,31,Thành ph? H?i Phòng
10744,Ph??ng Nguy?n ??i N?ng,Ph??ng,S?: 1669/NQ-UBTVQH15; Ngày: 16/06/2025,31,Thành ph? H?i Phòng
10750,Xã Phú Thái,Xã,S?: 1669/NQ-UBTVQH15; Ngày: 16/06/2025,31,Thành ph? H?i Phòng
10756,Xã Lai Khê,Xã,S?: 1669/NQ-UBTVQH15; Ngày: 16/06/2025,31,Thành ph? H?i Phòng
10792,Xã An Thành,Xã,S?: 1669/NQ-UBTVQH15; Ngày: 16/06/2025,31,Thành ph? H?i Phòng
10804,Xã Kim Thành,Xã,S?: 1669/NQ-UBTVQH15; Ngày: 16/06/2025,31,Thành ph? H?i Phòng
10813,Xã Thanh Hà,Xã,S?: 1669/NQ-UBTVQH15; Ngày: 16/06/2025,31,Thành ph? H?i Phòng
10816,Xã Hà B?c,Xã,S?: 1669/NQ-UBTVQH15; Ngày: 16/06/2025,31,Thành ph? H?i Phòng
10837,Ph??ng Nam ??ng,Ph??ng,S?: 1669/NQ-UBTVQH15; Ngày: 16/06/2025,31,Thành ph? H?i Phòng
10843,Xã Hà Nam,Xã,S?: 1669/NQ-UBTVQH15; Ngày: 16/06/2025,31,Thành ph? H?i Phòng
10846,Xã Hà Tây,Xã,S?: 1669/NQ-UBTVQH15; Ngày: 16/06/2025,31,Thành ph? H?i Phòng
10882,Xã Hà ?ông,Xã,S?: 1669/NQ-UBTVQH15; Ngày: 16/06/2025,31,Thành ph? H?i Phòng
10888,Xã C?m Giang,Xã,S?: 1669/NQ-UBTVQH15; Ngày: 16/06/2025,31,Thành ph? H?i Phòng
10891,Ph??ng T? Minh,Ph??ng,S?: 1669/NQ-UBTVQH15; Ngày: 16/06/2025,31,Thành ph? H?i Phòng
10903,Xã C?m Giàng,Xã,S?: 1669/NQ-UBTVQH15; Ngày: 16/06/2025,31,Thành ph? H?i Phòng
10909,Xã Tu? T?nh,Xã,S?: 1669/NQ-UBTVQH15; Ngày: 16/06/2025,31,Thành ph? H?i Phòng
10930,Xã Mao ?i?n,Xã,S?: 1669/NQ-UBTVQH15; Ngày: 16/06/2025,31,Thành ph? H?i Phòng
10945,Xã K? S?t,Xã,S?: 1669/NQ-UBTVQH15; Ngày: 16/06/2025,31,Thành ph? H?i Phòng
10966,Xã Bình Giang,Xã,S?: 1669/NQ-UBTVQH15; Ngày: 16/06/2025,31,Thành ph? H?i Phòng
10972,Xã ???ng An,Xã,S?: 1669/NQ-UBTVQH15; Ngày: 16/06/2025,31,Thành ph? H?i Phòng
10993,Xã Th??ng H?ng,Xã,S?: 1669/NQ-UBTVQH15; Ngày: 16/06/2025,31,Thành ph? H?i Phòng
10999,Xã Gia L?c,Xã,S?: 1669/NQ-UBTVQH15; Ngày: 16/06/2025,31,Thành ph? H?i Phòng
11002,Ph??ng Th?ch Khôi,Ph??ng,S?: 1669/NQ-UBTVQH15; Ngày: 16/06/2025,31,Thành ph? H?i Phòng
11020,Xã Y?t Kiêu,Xã,S?: 1669/NQ-UBTVQH15; Ngày: 16/06/2025,31,Thành ph? H?i Phòng
11050,Xã Gia Phúc,Xã,S?: 1669/NQ-UBTVQH15; Ngày: 16/06/2025,31,Thành ph? H?i Phòng
11065,Xã Tr??ng Tân,Xã,S?: 1669/NQ-UBTVQH15; Ngày: 16/06/2025,31,Thành ph? H?i Phòng
11074,Xã T? K?,Xã,S?: 1669/NQ-UBTVQH15; Ngày: 16/06/2025,31,Thành ph? H?i Phòng
11086,Xã ??i S?n,Xã,S?: 1669/NQ-UBTVQH15; Ngày: 16/06/2025,31,Thành ph? H?i Phòng
11113,Xã Tân K?,Xã,S?: 1669/NQ-UBTVQH15; Ngày: 16/06/2025,31,Thành ph? H?i Phòng
11131,Xã Chí Minh,Xã,S?: 1669/NQ-UBTVQH15; Ngày: 16/06/2025,31,Thành ph? H?i Phòng
11140,Xã L?c Ph??ng,Xã,S?: 1669/NQ-UBTVQH15; Ngày: 16/06/2025,31,Thành ph? H?i Phòng
11146,Xã Nguyên Giáp,Xã,S?: 1669/NQ-UBTVQH15; Ngày: 16/06/2025,31,Thành ph? H?i Phòng
11164,Xã V?nh L?i,Xã,S?: 1669/NQ-UBTVQH15; Ngày: 16/06/2025,31,Thành ph? H?i Phòng
11167,Xã Tân An,Xã,S?: 1669/NQ-UBTVQH15; Ngày: 16/06/2025,31,Thành ph? H?i Phòng
11203,Xã Ninh Giang,Xã,S?: 1669/NQ-UBTVQH15; Ngày: 16/06/2025,31,Thành ph? H?i Phòng
11218,Xã H?ng Châu,Xã,S?: 1669/NQ-UBTVQH15; Ngày: 16/06/2025,31,Thành ph? H?i Phòng
11224,Xã Khúc Th?a D?,Xã,S?: 1669/NQ-UBTVQH15; Ngày: 16/06/2025,31,Thành ph? H?i Phòng
11239,Xã Thanh Mi?n,Xã,S?: 1669/NQ-UBTVQH15; Ngày: 16/06/2025,31,Thành ph? H?i Phòng
11242,Xã Nguy?n L??ng B?ng,Xã,S?: 1669/NQ-UBTVQH15; Ngày: 16/06/2025,31,Thành ph? H?i Phòng
11254,Xã B?c Thanh Mi?n,Xã,S?: 1669/NQ-UBTVQH15; Ngày: 16/06/2025,31,Thành ph? H?i Phòng
11257,Xã H?i H?ng,Xã,S?: 1669/NQ-UBTVQH15; Ngày: 16/06/2025,31,Thành ph? H?i Phòng
11284,Xã Nam Thanh Mi?n,Xã,S?: 1669/NQ-UBTVQH15; Ngày: 16/06/2025,31,Thành ph? H?i Phòng
11311,Ph??ng H?ng Bàng,Ph??ng,S?: 1669/NQ-UBTVQH15; Ngày: 16/06/2025,31,Thành ph? H?i Phòng
11329,Ph??ng Ngô Quy?n,Ph??ng,S?: 1669/NQ-UBTVQH15; Ngày: 16/06/2025,31,Thành ph? H?i Phòng
11359,Ph??ng Gia Viên,Ph??ng,S?: 1669/NQ-UBTVQH15; Ngày: 16/06/2025,31,Thành ph? H?i Phòng
11383,Ph??ng Lê Chân,Ph??ng,S?: 1669/NQ-UBTVQH15; Ngày: 16/06/2025,31,Thành ph? H?i Phòng
11407,Ph??ng An Biên,Ph??ng,S?: 1669/NQ-UBTVQH15; Ngày: 16/06/2025,31,Thành ph? H?i Phòng
11411,Ph??ng ?ông H?i,Ph??ng,S?: 1669/NQ-UBTVQH15; Ngày: 16/06/2025,31,Thành ph? H?i Phòng
11413,Ph??ng H?i An,Ph??ng,S?: 1669/NQ-UBTVQH15; Ngày: 16/06/2025,31,Thành ph? H?i Phòng
11443,Ph??ng Ki?n An,Ph??ng,S?: 1669/NQ-UBTVQH15; Ngày: 16/06/2025,31,Thành ph? H?i Phòng
11446,Ph??ng Phù Li?n,Ph??ng,S?: 1669/NQ-UBTVQH15; Ngày: 16/06/2025,31,Thành ph? H?i Phòng
11455,Ph??ng ?? S?n,Ph??ng,S?: 1669/NQ-UBTVQH15; Ngày: 16/06/2025,31,Thành ph? H?i Phòng
11473,Ph??ng B?ch ??ng,Ph??ng,S?: 1669/NQ-UBTVQH15; Ngày: 16/06/2025,31,Thành ph? H?i Phòng
11488,Ph??ng L?u Ki?m,Ph??ng,S?: 1669/NQ-UBTVQH15; Ngày: 16/06/2025,31,Thành ph? H?i Phòng
11503,Xã Vi?t Khê,Xã,S?: 1669/NQ-UBTVQH15; Ngày: 16/06/2025,31,Thành ph? H?i Phòng
11506,Ph??ng Lê Ích M?c,Ph??ng,S?: 1669/NQ-UBTVQH15; Ngày: 16/06/2025,31,Thành ph? H?i Phòng
11533,Ph??ng Hòa Bình,Ph??ng,S?: 1669/NQ-UBTVQH15; Ngày: 16/06/2025,31,Thành ph? H?i Phòng
11542,Ph??ng Nam Tri?u,Ph??ng,S?: 1669/NQ-UBTVQH15; Ngày: 16/06/2025,31,Thành ph? H?i Phòng
11557,Ph??ng Thiên H??ng,Ph??ng,S?: 1669/NQ-UBTVQH15; Ngày: 16/06/2025,31,Thành ph? H?i Phòng
11560,Ph??ng Th?y Nguyên,Ph??ng,S?: 1669/NQ-UBTVQH15; Ngày: 16/06/2025,31,Thành ph? H?i Phòng
11581,Ph??ng An D??ng,Ph??ng,S?: 1669/NQ-UBTVQH15; Ngày: 16/06/2025,31,Thành ph? H?i Phòng
11593,Ph??ng An Phong,Ph??ng,S?: 1669/NQ-UBTVQH15; Ngày: 16/06/2025,31,Thành ph? H?i Phòng
11602,Ph??ng H?ng An,Ph??ng,S?: 1669/NQ-UBTVQH15; Ngày: 16/06/2025,31,Thành ph? H?i Phòng
11617,Ph??ng An H?i,Ph??ng,S?: 1669/NQ-UBTVQH15; Ngày: 16/06/2025,31,Thành ph? H?i Phòng
11629,Xã An Lão,Xã,S?: 1669/NQ-UBTVQH15; Ngày: 16/06/2025,31,Thành ph? H?i Phòng
11635,Xã An Tr??ng,Xã,S?: 1669/NQ-UBTVQH15; Ngày: 16/06/2025,31,Thành ph? H?i Phòng
11647,Xã An Quang,Xã,S?: 1669/NQ-UBTVQH15; Ngày: 16/06/2025,31,Thành ph? H?i Phòng
11668,Xã An Khánh,Xã,S?: 1669/NQ-UBTVQH15; Ngày: 16/06/2025,31,Thành ph? H?i Phòng
11674,Xã An H?ng,Xã,S?: 1669/NQ-UBTVQH15; Ngày: 16/06/2025,31,Thành ph? H?i Phòng
11680,Xã Ki?n Th?y,Xã,S?: 1669/NQ-UBTVQH15; Ngày: 16/06/2025,31,Thành ph? H?i Phòng
11689,Ph??ng H?ng ??o,Ph??ng,S?: 1669/NQ-UBTVQH15; Ngày: 16/06/2025,31,Thành ph? H?i Phòng
11692,Ph??ng D??ng Kinh,Ph??ng,S?: 1669/NQ-UBTVQH15; Ngày: 16/06/2025,31,Thành ph? H?i Phòng
11713,Xã Nghi D??ng,Xã,S?: 1669/NQ-UBTVQH15; Ngày: 16/06/2025,31,Thành ph? H?i Phòng
11725,Xã Ki?n Minh,Xã,S?: 1669/NQ-UBTVQH15; Ngày: 16/06/2025,31,Thành ph? H?i Phòng
11728,Xã Ki?n H?ng,Xã,S?: 1669/NQ-UBTVQH15; Ngày: 16/06/2025,31,Thành ph? H?i Phòng
11737,Ph??ng Nam ?? S?n,Ph??ng,S?: 1669/NQ-UBTVQH15; Ngày: 16/06/2025,31,Thành ph? H?i Phòng
11749,Xã Ki?n H?i,Xã,S?: 1669/NQ-UBTVQH15; Ngày: 16/06/2025,31,Thành ph? H?i Phòng
11755,Xã Tiên Lãng,Xã,S?: 1669/NQ-UBTVQH15; Ngày: 16/06/2025,31,Thành ph? H?i Phòng
11761,Xã Quy?t Th?ng,Xã,S?: 1669/NQ-UBTVQH15; Ngày: 16/06/2025,31,Thành ph? H?i Phòng
11779,Xã Tân Minh,Xã,S?: 1669/NQ-UBTVQH15; Ngày: 16/06/2025,31,Thành ph? H?i Phòng
11791,Xã Tiên Minh,Xã,S?: 1669/NQ-UBTVQH15; Ngày: 16/06/2025,31,Thành ph? H?i Phòng
11806,Xã Ch?n H?ng,Xã,S?: 1669/NQ-UBTVQH15; Ngày: 16/06/2025,31,Thành ph? H?i Phòng
11809,Xã Hùng Th?ng,Xã,S?: 1669/NQ-UBTVQH15; Ngày: 16/06/2025,31,Thành ph? H?i Phòng
11824,Xã V?nh B?o,Xã,S?: 1669/NQ-UBTVQH15; Ngày: 16/06/2025,31,Thành ph? H?i Phòng
11836,Xã V?nh Th?nh,Xã,S?: 1669/NQ-UBTVQH15; Ngày: 16/06/2025,31,Thành ph? H?i Phòng
11842,Xã V?nh Thu?n,Xã,S?: 1669/NQ-UBTVQH15; Ngày: 16/06/2025,31,Thành ph? H?i Phòng
11848,Xã V?nh Hòa,Xã,S?: 1669/NQ-UBTVQH15; Ngày: 16/06/2025,31,Thành ph? H?i Phòng
11875,Xã V?nh H?i,Xã,S?: 1669/NQ-UBTVQH15; Ngày: 16/06/2025,31,Thành ph? H?i Phòng
11887,Xã V?nh Am,Xã,S?: 1669/NQ-UBTVQH15; Ngày: 16/06/2025,31,Thành ph? H?i Phòng
11911,Xã Nguy?n B?nh Khiêm,Xã,S?: 1669/NQ-UBTVQH15; Ngày: 16/06/2025,31,Thành ph? H?i Phòng
11914,??c khu Cát H?i,??c khu,S?: 1669/NQ-UBTVQH15; Ngày: 16/06/2025,31,Thành ph? H?i Phòng
11948,??c khu B?ch Long V?,??c khu,S?: 1669/NQ-UBTVQH15; Ngày: 16/06/2025,31,Thành ph? H?i Phòng
11953,Ph??ng Ph? Hi?n,Ph??ng,S?: 1666/NQ-UBTVQH15; Ngày: 16/06/2025,33,T?nh H?ng Yên
11977,Xã Tân H?ng,Xã,S?: 1666/NQ-UBTVQH15; Ngày: 16/06/2025,33,T?nh H?ng Yên
11980,Ph??ng H?ng Châu,Ph??ng,S?: 1666/NQ-UBTVQH15; Ngày: 16/06/2025,33,T?nh H?ng Yên
